PERIMETRE_SUPERIOR,APB_ID,NUMERO_PLANTES,US_EDIFICACIO,TIPUS_EDIFICACIO,LIT_DENOMINACIO,DENOMINACIO_TEXT,SEQENTITAT,SW_URN,DENOMINACIO_ANG,PUNT_BASE_ANG
"POLYGON ((2.174436199 41.369941758,2.174433438 41.369933091,2.174429991 41.369921987,2.174425748 41.369907635,2.17442118 41.369890668,2.174418566 41.36987984,2.174415275 41.369865855,2.174412791 41.369854307,2.17440998 41.369840145,2.174407409 41.369825985,2.174405299 41.369813179,2.174402668 41.369794244,2.174400635 41.369770657,2.174399315 41.369754938,2.174398387 41.369740357,2.174397696 41.36972594,2.174397393 41.369709193,2.174397434 41.369687089,2.174397738 41.369673436,2.174392165 41.369655462,2.174388016 41.369641236,2.174384415 41.369628149,2.174381295 41.369615823,2.174377653 41.369600258,2.174373884 41.369582495,2.174372202 41.369573656,2.174369173 41.369556907,2.17436726 41.369544607,2.174364828 41.369527007,2.174363141 41.369511934,2.174361505 41.369494718,2.174360624 41.369483984,2.174359609 41.369467799,2.174359042 41.369453032,2.174358834 41.369439231,2.174358751 41.369423989,2.174359168 41.369404293,2.174356523 41.369395969,2.174351907 41.36938083,2.174348153 41.369367553,2.174343829 41.369351065,2.174340816 41.369338775,2.174336572 41.369319802,2.174333774 41.369305577,2.174330338 41.36928606,2.17432731 41.369266348,2.17432593 41.369255412,2.174324043 41.369238221,2.174322857 41.369225133,2.174321315 41.36920427,2.174320682 41.369190015,2.174320206 41.369170907,2.174320201 41.369154288,2.174320592 41.369135609,2.174314804 41.369116778,2.174306666 41.369087976,2.174300778 41.369063767,2.17429614 41.369041854,2.174293637 41.369028001,2.174289559 41.369003462,2.174286633 41.368980445,2.174284539 41.368959766,2.174283412 41.368943932,2.17428237 41.36892418,2.174281794 41.368904485,2.174281578 41.368886496,2.174282129 41.368867557,2.174273621 41.368839662,2.174266813 41.368814473,2.174261947 41.368793568,2.174256717 41.368768382,2.174253935 41.368752923,2.174250646 41.368731227,2.174247848 41.368709445,2.174245591 41.368684631,2.174244321 41.368666868,2.174243474 41.368645892,2.174243179 41.368617147,2.174243569 41.368598594,2.174235907 41.368573795,2.174231524 41.368558226,2.174224944 41.368532057,2.174220756 41.368513363,2.174216374 41.368490164,2.174213496 41.368472849,2.174210797 41.36845268,2.174209342 41.368441014,2.17420751 41.368421328,2.174206246 41.368404069,2.174205346 41.368382508,2.174204942 41.368358725,2.174205974 41.368326224,2.17479059 41.368278928,2.174800419 41.36831301,2.174804426 41.368327091,2.174807162 41.368337649,2.174810462 41.368350914,2.174812725 41.368361109,2.174815664 41.368374551,2.174818018 41.368386999,2.1748207 41.36840188,2.174822137 41.368411168,2.174824121 41.368424514,2.174825639 41.368436865,2.174827031 41.368449666,2.17482799 41.36845895,2.174828915 41.368470937,2.174829727 41.368482382,2.174830094 41.368491212,2.174830563 41.368501394,2.174830808 41.368510404,2.174830993 41.368524186,2.174830965 41.368535896,2.174830538 41.368550755,2.17483468 41.368563666,2.174838467 41.368576214,2.17484133 41.368586232,2.174843619 41.368594356,2.174847039 41.368607531,2.174849426 41.368617367,2.174852487 41.36863063,2.174854738 41.368641725,2.174857662 41.368656428,2.174859442 41.36866698,2.174861329 41.368678523,2.17486309 41.368690516,2.174864398 41.368700614,2.174865916 41.368712965,2.17486708 41.368724953,2.174868317 41.368740635,2.174869522 41.368758839,2.17486987 41.36876911,2.174870302 41.368782264,2.17487041 41.368792624,2.174870262 41.368804333,2.174869952 41.368819463,2.174875474 41.368836707,2.174878341 41.368846366,2.174881204 41.368856384,2.174883378 41.368864147,2.174885999 41.368874344,2.174888725 41.368885713,2.174890996 41.368895277,2.174893482 41.368906735,2.174896624 41.368923061,2.174898744 41.368935056,2.174900629 41.368946779,2.174902615 41.368959945,2.174903815 41.368969051,2.174905215 41.368981311,2.174906277 41.368991858,2.174907421 41.369005467,2.174908242 41.369016192,2.174908998 41.369032051,2.174909451 41.369043584,2.174909654 41.369055925,2.174909633 41.369067005,2.174909514 41.369076462,2.174909374 41.36908754,2.174912937 41.369098915,2.174916382 41.369110199,2.174920394 41.369123919,2.174923819 41.369136735,2.174927232 41.369150541,2.174930298 41.369163443,2.174933007 41.369176163,2.174935816 41.369190416,2.174938272 41.369204215,2.174940159 41.369215758,2.174941807 41.369227299,2.174943553 41.369240553,2.17494506 41.369253805,2.174946223 41.369265883,2.174946936 41.369275707,2.174947635 41.369286611,2.17494833 41.369297875,2.174948775 41.369309949,2.174949011 41.369319678,2.174949092 41.369332199,2.174949084 41.369342288,2.174948785 41.369356518,2.174952352 41.369367622,2.174955221 41.369377101,2.174957856 41.369386217,2.174961633 41.369399666,2.174965167 41.369413292,2.174967785 41.36942376,2.174970275 41.369434947,2.174972419 41.369445051,2.17497489 41.369457679,2.17497735 41.369471208,2.17497913 41.36948176,2.174980558 41.369491768,2.174982203 41.36950358,2.174983606 41.36951557,2.174984781 41.369526658,2.17498583 41.369538285,2.17498686 41.369551444,2.174987338 41.369560905,2.17498782 41.369570096,2.174988258 41.36958271,2.174988464 41.369594871,2.174988413 41.369608382,2.174988087 41.369624684,2.174992342 41.369638136,2.174995558 41.369648607,2.17499831 41.369657905,2.175000935 41.369667832,2.175003791 41.369678391,2.175006517 41.36968976,2.175009012 41.369700497,2.175011385 41.369711413,2.175013523 41.369722058,2.175015539 41.369732881,2.17501732 41.369743343,2.175018767 41.36975182,2.175019862 41.369759845,2.17502118 41.369769042,2.175022265 41.369777877,2.175023451 41.369788064,2.175024197 41.369795275,2.175025133 41.369806361,2.17502585 41.369815914,2.175026665 41.36982709,2.175027304 41.369842767,2.175027536 41.369852857,2.175027729 41.36986601,2.175027681 41.369879251,2.175027391 41.36989276,2.175018413 41.369893506,2.174445176 41.369941012,2.174436199 41.369941758))","284","3",Magatzem,Edifici principal,Magatzem M. Sant Bertran,Magatzem M. Sant Bertran,"250487",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ284,-81.7,-0.411
"POLYGON ((2.143774396 41.326361309,2.143776899 41.326365399,2.143752243 41.326373971,2.14373776 41.32635029,2.143730261 41.32633802,2.143754917 41.326329448,2.143774396 41.326361309))","569",,Oficines,Construccio Modular,,,"250612",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ569,,-0.426
"POLYGON ((2.142558756 41.327928813,2.142451698 41.32775471,2.142485792 41.327742713,2.142562141 41.327716079,2.142571149 41.327730828,2.142661126 41.327877061,2.142669199 41.327890182,2.14261698 41.327908349,2.142609057 41.327911082,2.142558756 41.327928813))","44","1",Oci,Edifici principal,EST-SERVICIO AGIP,EST-SERVICIO AGIP,"250361",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ44,-58.4,-0.426
"POLYGON ((2.149417372 41.346260237,2.14943967 41.346291964,2.149413145 41.34630219,2.149392043 41.346269526,2.149417372 41.346260237))","75155422","1",,No classificat,,,"878631",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ75155422,,
"POLYGON ((2.187928313 41.371825451,2.187921341 41.371788012,2.187904602 41.371692567,2.187893867 41.3716346,2.187884378 41.371582208,2.187873804 41.371523836,2.187863331 41.371465943,2.187852578 41.371406516,2.187844042 41.371359194,2.187836476 41.371317561,2.187825544 41.371257188,2.187820587 41.371229797,2.187811894 41.371181725,2.187804419 41.371140436,2.187786865 41.371043319,2.187775359 41.370955945,2.187764621 41.370873279,2.187752049 41.370777404,2.187719752 41.370779284,2.187666574 41.370390918,2.187697936 41.370388257,2.187726663 41.370385847,2.187931347 41.370368825,2.187979705 41.370364842,2.188042785 41.370359612,2.18809704 41.370699039,2.188084711 41.370700123,2.188092493 41.370747468,2.188267018 41.370732575,2.188293594 41.370893817,2.18811929 41.370910063,2.188075837 41.3709139,2.188090248 41.37099552,2.188141946 41.370992191,2.188161543 41.371099159,2.188192634 41.371262685,2.188208015 41.371343231,2.188225114 41.371341388,2.188307683 41.37178316,2.187931199 41.371825138,2.187928313 41.371825451))","333",,Oci,Edifici principal,C. N. BARCELONA,C. N. BARCELONA,"250529",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ333,-79.4,-0.404
"POLYGON ((2.149296804 41.327149616,2.149328526 41.327137978,2.149332064 41.327143454,2.149356448 41.327134635,2.149415516 41.327227373,2.149358799 41.32724705,2.149296804 41.327149616))","420","1",Indeterminat,No classificat,,,"250558",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ420,,-0.423
"POLYGON ((2.156526615 41.337643419,2.156519189 41.33762616,2.1565705 41.337613835,2.156577807 41.337631093,2.156526615 41.337643419))","470",,Instal·lacions de serveis,No classificat,,,"250594",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ470,,
"POLYGON ((2.139623763 41.327172699,2.139591266 41.327184085,2.139566076 41.327143245,2.139598585 41.327131859,2.139623763 41.327172699))","6770580","1",Instal·lacions de serveis,Construccio Modular,,,"250768",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6770580,,-0.428
"POLYGON ((2.175740668 41.359660505,2.17574439 41.35965918,2.17580084 41.359638687,2.175865816 41.359615102,2.175889833 41.359606716,2.175922425 41.359657752,2.175773497 41.359711723,2.175740668 41.359660505))","238","2",Instal·lacions de serveis,Edifici principal,Ergransa oficinas,Ergransa oficinas,"250473",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ238,20.2,-0.41
"POLYGON ((2.187150391 41.368105085,2.187002427 41.368121065,2.186994199 41.368075078,2.186955749 41.367861372,2.186947202 41.367815013,2.187094225 41.367799639,2.187102645 41.367845592,2.18709029 41.367846874,2.187129423 41.368060494,2.187141647 41.368059175,2.187150391 41.368105085))","357","2",Magatzem,Edifici principal,,,"250547",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ357,,-0.404
