PERIMETRE_SUPERIOR,APB_ID,NUMERO_PLANTES,US_EDIFICACIO,TIPUS_EDIFICACIO,LIT_DENOMINACIO,DENOMINACIO_TEXT,SEQENTITAT,SW_URN,DENOMINACIO_ANG,PUNT_BASE_ANG
"POLYGON ((2.151165963 41.325592199,2.151271447 41.325554703,2.151303043 41.325605216,2.151197559 41.325642703,2.151165963 41.325592199))","5878381","2",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250717",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ5878381,,-0.422
"POLYGON ((2.173732009 41.363308506,2.173749439 41.36333142,2.17374929 41.363331843,2.173737364 41.363336991,2.173736816 41.363336879,2.173719374 41.363313964,2.173719523 41.363313551,2.173731449 41.363308394,2.173732009 41.363308506))","44939477","1",Seguretat,Construccio Modular,,,"635823",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ44939477,,-0.411
"POLYGON ((2.141932813 41.326652521,2.142016002 41.326622623,2.142054691 41.326683019,2.141971065 41.326712526,2.141932813 41.326652521))","5939699","1",Instal·lacions de serveis,Edificació secundària o auxiliar,Caseta EB 7-1 Tram VI,Caseta EB 7-1 Tram VI,"250725",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ5939699,18.7,-0.427
"POLYGON ((2.144441021 41.330414956,2.144519229 41.330429057,2.144503388 41.330478986,2.144425179 41.330464884,2.144441021 41.330414956))","5940307","1",Instal·lacions de serveis,Edificació secundària o auxiliar,E.B.7-2,E.B.7-2,"250726",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ5940307,,-0.426
"POLYGON ((2.14835233 41.321458121,2.148360795 41.321457742,2.148362457 41.32147876,2.148353993 41.321479139,2.14835233 41.321458121))","5941393",,Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250729",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ5941393,,-0.424
"POLYGON ((2.148410397 41.321497868,2.148414054 41.321542816,2.148372316 41.321544751,2.148368659 41.321499803,2.148398465 41.32149842,2.148410397 41.321497868))","5941363","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250727",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ5941363,,-0.424
"POLYGON ((2.172701683 41.363586694,2.172655423 41.363606674,2.172641275 41.36358808,2.172687535 41.3635681,2.172701683 41.363586694))","44927691","1",Instal·lacions de serveis,Construccio Modular,,,"636481",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ44927691,,-0.412
"POLYGON ((2.148464066 41.321495383,2.148467723 41.321540331,2.148425986 41.321542265,2.148422329 41.321497317,2.148464066 41.321495383))","5941375","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250728",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ5941375,,2.66
"POLYGON ((2.173788896 41.363283936,2.173806326 41.363306851,2.173806177 41.363307273,2.173794251 41.363312421,2.173793703 41.363312309,2.173776261 41.363289394,2.17377641 41.363288981,2.173788336 41.363283824,2.173788896 41.363283936))","44939489","1",Seguretat,Construccio Modular,,,"636048",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ44939489,,-0.411
"POLYGON ((2.174423276 41.365629839,2.174267356 41.365427735,2.174387274 41.365375243,2.17454344 41.365577682,2.174423276 41.365629839))","44912293","1",Tallers,Construccio Modular,,,"635968",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ44912293,,-0.411
"POLYGON ((2.187796956 41.373315869,2.187789428 41.373271193,2.187825009 41.373267796,2.187832537 41.373312472,2.187796956 41.373315869))","5955744","1",Instal·lacions de serveis,Edificació secundària o auxiliar,Caseta costat torre Sant Sebastià,Caseta costat torre Sant Sebastià,"250731",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ5955744,-80.4,-0.404
"POLYGON ((2.151027365 41.322699283,2.15046402 41.322896297,2.149782869 41.321788765,2.150346265 41.321591855,2.151027365 41.322699283))","5982874",,Magatzem,Edifici principal,,,"250735",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ5982874,,-0.423
"POLYGON ((2.157906703 41.341600212,2.157861121 41.341611066,2.157852111 41.341589589,2.157897704 41.341578744,2.157906703 41.341600212))","41751918","1",Instal·lacions de serveis,Construccio Modular,,,"427044",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ41751918,,-0.419
"POLYGON ((2.151384131 41.32455912,2.151375294 41.324555956,2.151379393 41.324549447,2.151388231 41.324552611,2.151384131 41.32455912))","5968875",,Instal·lacions de serveis,Construccio Modular,Caseta del Perro,Caseta del Perro,"250732",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ5968875,,-0.422
"POLYGON ((2.185302794 41.381388422,2.185320937 41.381379813,2.185385759 41.381348971,2.185415543 41.381384986,2.18530776 41.381436188,2.185277686 41.381400387,2.185302794 41.381388422))","49747106",,Instal·lacions de serveis,Carpa,,,"770601",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ49747106,,-0.405
"POLYGON ((2.142537923 41.328743666,2.142371042 41.32847751,2.142560942 41.328409538,2.142480668 41.328281546,2.142964692 41.32810905,2.143211072 41.328504137,2.142537923 41.328743666))","7092219","1",Magatzem,Edifici principal,,,"250774",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ7092219,,-0.426
"POLYGON ((2.139891761 41.33251947,2.139877992 41.332500541,2.139931911 41.332477929,2.139946054 41.3324975,2.139891761 41.33251947))","7245821","1",Seguretat,Construccio Modular,Garita Control,Garita Control,"250775",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ7245821,,-0.428
"POLYGON ((2.140269142 41.332515153,2.14025559 41.332492479,2.140284579 41.332482634,2.140298132 41.332505299,2.140269142 41.332515153))","7246212","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,unset,"250776",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ7246212,-61.1,-0.428
"POLYGON ((2.15141273 41.324497016,2.151425005 41.324477371,2.151435805 41.324481216,2.151439397 41.324494492,2.151423542 41.324500852,2.15141273 41.324497016))","5968881",,Instal·lacions de serveis,Construccio Modular,,,"250733",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ5968881,,-0.422
"POLYGON ((2.150886706 41.324311186,2.150870531 41.324311814,2.150869265 41.324293339,2.150885441 41.324292711,2.150886706 41.324311186))","5969100",,Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250734",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ5969100,,128
"POLYGON ((2.14587301 41.340873936,2.14582611 41.340797996,2.146022773 41.340729006,2.146069673 41.340804946,2.14587301 41.340873936))","6056656","1",Seguretat,Construccio Modular,Garita Control,Garita Control,"250736",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6056656,,-0.425
"POLYGON ((2.152777446 41.330093528,2.15279909 41.330085932,2.152819269 41.330118616,2.152797637 41.330126212,2.152777446 41.330093528))","46229527","2",Oficines,Construccio Modular,,,"686326",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ46229527,,-0.421
"POLYGON ((2.174028104 41.368343955,2.174064045 41.368415994,2.174014038 41.368430362,2.173978097 41.368358323,2.174028104 41.368343955))","6278430","1",Instal·lacions de serveis,Edificació secundària o auxiliar,E.B.3-2,E.B.3-2,"250740",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6278430,,-0.411
"POLYGON ((2.177721283 41.365749319,2.177683567 41.365762984,2.177662836 41.365730517,2.177700552 41.365716852,2.177721283 41.365749319))","6278446",,Instal·lacions de serveis,Edificació secundària o auxiliar,E.B.3-3,E.B.3-3,"250741",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6278446,,-0.409
"POLYGON ((2.157375823 41.345448118,2.15737437 41.345449558,2.157326476 41.345496839,2.157290394 41.345476074,2.157339718 41.345427389,2.157375823 41.345448118))","6278506",,Instal·lacions de serveis,Edificació secundària o auxiliar,E.B.5-2,E.B.5-2,"250744",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6278506,,-0.419
"POLYGON ((2.152859103 41.330236422,2.152838959 41.330203801,2.152860604 41.330196205,2.15288076 41.330228817,2.152859103 41.330236422))","46229768","1",Oficines,Construccio Modular,,,"686303",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ46229768,,-0.421
"POLYGON ((2.156645789 41.34928867,2.156670966 41.349279198,2.156701663 41.349325568,2.156676486 41.349335031,2.156645789 41.34928867))","46233075","1",Oficines,Construccio Modular,,,"686900",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ46233075,,-0.42
"POLYGON ((2.153682075 41.328212292,2.153649148 41.328143394,2.153701087 41.328129075,2.153734142 41.328198253,2.153682075 41.328212292))","6278518","1",Instal·lacions de serveis,Edificació secundària o auxiliar,E.B.8-2,E.B.8-2,"250745",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6278518,,-0.421
"POLYGON ((2.1749476 41.35981499,2.174894449 41.359834642,2.174888011 41.359837019,2.174857418 41.359848329,2.174830666 41.359807243,2.174920848 41.359773904,2.1749476 41.35981499))","6278482",,Instal·lacions de serveis,Edificació secundària o auxiliar,E.B.3-1,E.B.3-1,"250742",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6278482,,-0.41
"POLYGON ((2.185442747 41.365200053,2.185502274 41.36512745,2.185562548 41.365155214,2.185503472 41.365228019,2.185442747 41.365200053))","6278534","1",Instal·lacions de serveis,Edificació secundària o auxiliar,Caseta EB 1-1 moll Llevant,Caseta EB 1-1 moll Llevant,"250746",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6278534,51.6,-0.405
"POLYGON ((2.185292027 41.369679392,2.185339426 41.369674566,2.185347443 41.369719192,2.185354555 41.369718467,2.185371382 41.369812193,2.185364271 41.369812917,2.185373093 41.369862008,2.185325694 41.369866834,2.185292027 41.369679392))","6057763","2",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250737",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6057763,,-0.405
"POLYGON ((2.174348576 41.35922761,2.174323112 41.359188659,2.17432632 41.359187475,2.174365993 41.359172843,2.174369212 41.35917165,2.17436974 41.359172464,2.174390969 41.359204927,2.174394675 41.35921061,2.174391468 41.359211794,2.174351795 41.359226426,2.174348576 41.35922761))","6280833","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250751",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6280833,,-0.411
"POLYGON ((2.174589641 41.359077326,2.174596466 41.359087833,2.174561129 41.359100875,2.174554292 41.359090359,2.174589641 41.359077326))","6280803","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250750",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6280803,,-0.411
"POLYGON ((2.175593442 41.360221307,2.175584636 41.360208516,2.175708568 41.36016206,2.175717085 41.360174966,2.175593442 41.360221307))","6317312","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250752",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6317312,,-0.41
"POLYGON ((2.151387945 41.325737758,2.151414484 41.3257802,2.151393632 41.325787621,2.151367081 41.325745171,2.151387945 41.325737758))","6399857","1",Instal·lacions de serveis,Construccio Modular,,,"250755",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6399857,,-0.422
"POLYGON ((2.174937157 41.358977112,2.174906908 41.358929876,2.17499206 41.358899049,2.17502219 41.358946285,2.174937157 41.358977112))","6317357","2",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250754",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6317357,,-0.41
"POLYGON ((2.174466643 41.359613269,2.174488506 41.359646708,2.174356645 41.359695341,2.174333832 41.359660435,2.174465693 41.359611812,2.174466643 41.359613269))","6317349","1",Instal·lacions de serveis,Edificació secundària o auxiliar,Caseta Portcemen,Caseta Portcemen,"250753",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6317349,20.5,-0.411
"POLYGON ((2.188046872 41.37397557,2.188057432 41.373996632,2.187973584 41.37402055,2.187962928 41.37399947,2.187968568 41.373997861,2.188046872 41.37397557))","6570153","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250757",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6570153,,-0.404
"POLYGON ((2.187975057 41.374096359,2.187925866 41.374111433,2.18790562 41.374073972,2.187924598 41.374068152,2.1879548 41.374058889,2.187975057 41.374096359))","6572034","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250759",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6572034,,-0.404
"POLYGON ((2.187285475 41.373617049,2.187332241 41.373602769,2.187360011 41.373654389,2.187313245 41.37366866,2.187285475 41.373617049))","6570927","2",,Edificació secundària o auxiliar,,,"250758",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6570927,,-0.404
"POLYGON ((2.187921758 41.37406089,2.187899639 41.374020191,2.187929624 41.37401108,2.187951443 41.374051894,2.187921758 41.37406089))","6570087","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250756",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6570087,,-0.404
"POLYGON ((2.151384687 41.348851296,2.151602965 41.348926297,2.151552271 41.349010082,2.151333993 41.348935071,2.151348224 41.348911549,2.151323257 41.34890297,2.151335687 41.348882884,2.151360537 41.348891219,2.151384687 41.348851296))","6584159","1",Oficines,Edifici principal,,,"250761",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6584159,,-0.422
"POLYGON ((2.142028184 41.309359769,2.142030701 41.30936004,2.142037882 41.309367236,2.142037522 41.309369125,2.142026076 41.309375624,2.142023571 41.309375354,2.14201639 41.309368166,2.142016737 41.309366268,2.142028184 41.309359769))","41362798",,Seguretat,Construccio Modular,,,"251332",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ41362798,,-0.427
"POLYGON ((2.142062968 41.309394626,2.142065485 41.309394897,2.142072666 41.309402094,2.142072307 41.309403982,2.142060861 41.309410482,2.142058356 41.309410211,2.142051175 41.309403023,2.142051522 41.309401125,2.142062968 41.309394626))","41362786",,Seguretat,Construccio Modular,,,"251331",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ41362786,,-0.427
"POLYGON ((2.151293931 41.348826883,2.151275141 41.348858109,2.151249043 41.348849134,2.151267904 41.348817999,2.151293931 41.348826883))","6584198","1",Seguretat,Edificació secundària o auxiliar,,,"250762",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6584198,,-0.422
"POLYGON ((2.145195041 41.338307472,2.145208887 41.33832994,2.145133006 41.33835649,2.145119172 41.338334031,2.145195041 41.338307472))","6658187","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250763",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6658187,,-0.425
"POLYGON ((2.145050617 41.338385315,2.145036784 41.338362847,2.145112665 41.338336297,2.145126498 41.338358766,2.145050617 41.338385315))","6658199","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250764",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6658199,,-0.425
"POLYGON ((2.17575831 41.368757727,2.175766242 41.368812343,2.175757325 41.368813081,2.175757138 41.368811737,2.175721481 41.36881468,2.1757195 41.368801064,2.175696447 41.368802962,2.17569132 41.368767688,2.175689477 41.368767828,2.175688887 41.368763347,2.17575831 41.368757727))","6666998","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250765",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6666998,,-0.41
"POLYGON ((2.152929354 41.346140621,2.153000869 41.346135076,2.153024198 41.34631158,2.152951427 41.346317197,2.152927332 41.346140777,2.152929354 41.346140621))","49022213","2",Oficines,Construccio Modular,Cemesa,Cemesa,"754986",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ49022213,-81.4,-0.421
"POLYGON ((2.149191535 41.32632738,2.149172938 41.326297347,2.149254795 41.32626856,2.14927338 41.326298593,2.149191535 41.32632738))","48590366","1",Instal·lacions de serveis,Construccio Modular,,,"758414",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ48590366,,-0.423
"POLYGON ((2.144020911 41.326518459,2.143979441 41.326451269,2.144017904 41.326437782,2.144059374 41.326504963,2.144020911 41.326518459))","8943047",,Oficines,Construccio Modular,,,"250792",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ8943047,,-0.426
"POLYGON ((2.154827171 41.332449943,2.154797011 41.33240163,2.154823111 41.332392372,2.154853271 41.332440685,2.154827171 41.332449943))","30602736",,Instal·lacions de serveis,Construccio Modular,,,"251095",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ30602736,,-0.42
"POLYGON ((2.149994718 41.346814557,2.149908645 41.346190957,2.15005243 41.346179714,2.15004754 41.346143936,2.150085805 41.346140966,2.150090684 41.346176636,2.150162856 41.346171143,2.150256098 41.346846679,2.15007328 41.34686103,2.150066091 41.346808958,2.149994718 41.346814557))","6684612","3",,Edifici principal,,,"250766",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ6684612,,-0.423
"POLYGON ((2.150989338 41.32433965,2.150972915 41.324364885,2.150902919 41.324338995,2.15091933 41.324313768,2.150989338 41.32433965))","74213287",,Instal·lacions de serveis,Edificació secundària o auxiliar,,,"863331",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ74213287,,
"POLYGON ((2.159776595 41.330648242,2.159738689 41.330560736,2.159940698 41.33050647,2.159978578 41.33059603,2.159776595 41.330648242))","16073898",,Oficines,Edifici principal,,,"250839",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ16073898,,-0.418
"POLYGON ((2.173497063 41.344754772,2.173479775 41.34477314,2.173455401 41.344760103,2.173472701 41.344741743,2.173497063 41.344754772))","42678228",,Seguretat,Construccio Modular,,,"488007",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ42678228,,49
"POLYGON ((2.158308212 41.340922083,2.158247302 41.340937176,2.158234636 41.340908088,2.158228773 41.340894642,2.158223596 41.340882741,2.158284494 41.340867648,2.158308212 41.340922083))","16512097",,Indeterminat,Edificació secundària o auxiliar,,,"250860",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ16512097,,-0.419
"POLYGON ((2.140973431 41.326435691,2.140855474 41.326477056,2.14080508 41.326395387,2.140923037 41.326354021,2.140973431 41.326435691))","16526309",,Indeterminat,Edificació secundària o auxiliar,,,"250871",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ16526309,,-0.427
"POLYGON ((2.154776012 41.337903705,2.154766317 41.337882646,2.154825965 41.337867059,2.15483566 41.337888118,2.154776012 41.337903705))","30602245",,,Construccio Modular,,,"251085",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ30602245,,-0.42
"POLYGON ((2.155795625 41.338043891,2.155881936 41.338021897,2.155907529 41.338078913,2.155821242 41.338100926,2.155795625 41.338043891))","30602220",,Oficines,No classificat,,,"251084",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ30602220,,-0.42
"POLYGON ((2.155555154 41.338267553,2.155520893 41.338190377,2.155621845 41.338165625,2.155553719 41.338008394,2.155912207 41.337920135,2.155945749 41.337997486,2.155690733 41.338060111,2.155725199 41.338139901,2.155982374 41.338076751,2.156015914 41.338154281,2.155555154 41.338267553))","30602208",,Oficines,No classificat,,,"251083",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ30602208,,-0.42
"POLYGON ((2.157249596 41.341664296,2.157239743 41.341628455,2.157301888 41.341618758,2.157311741 41.341654599,2.157249596 41.341664296))","30601851",,Instal·lacions de serveis,Edificació secundària o auxiliar,,,"251082",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ30601851,,-0.419
"POLYGON ((2.159328756 41.341779952,2.159131379 41.341325168,2.159339851 41.341273779,2.159399843 41.341411988,2.159372745 41.341418672,2.159510144 41.341735238,2.159328756 41.341779952))","30601691","3",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"251081",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ30601691,,-0.418
"POLYGON ((2.15987451 41.341112274,2.159926569 41.341243841,2.159854338 41.341260077,2.159802279 41.341128501,2.15987451 41.341112274))","30601667",,Indeterminat,Construccio Modular,,,"251079",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ30601667,,-0.418
"POLYGON ((2.158619355 41.35133216,2.158675798 41.351310081,2.158689235 41.35132959,2.158632791 41.351351661,2.158619355 41.35133216))","22553739","1",Seguretat,Construccio Modular,Garita Control,Garita Control,"250955",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ22553739,,-0.419
"POLYGON ((2.144254058 41.322769233,2.144195076 41.322673512,2.144335194 41.322624434,2.144394188 41.322720164,2.144254058 41.322769233))","9306764","1",Oficines,Construccio Modular,Caseta oficines Poliesportiu,Caseta oficines Poliesportiu,"250797",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ9306764,17.6,-0.426
"POLYGON ((2.186766008 41.375035089,2.186714286 41.374914202,2.186789743 41.374895883,2.186841465 41.375016769,2.186766008 41.375035089))","13690301","2",Oficines,Construccio Modular,,,"250823",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ13690301,,-0.405
"POLYGON ((2.16186064 41.334918997,2.161911403 41.334906332,2.16192046 41.334926953,2.161869698 41.334939618,2.16186064 41.334918997))","13588127","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250821",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ13588127,,-0.42
"POLYGON ((2.143579027 41.329025774,2.143536875 41.329040756,2.143513839 41.329003933,2.143555991 41.328988951,2.143563225 41.329000517,2.143579027 41.329025774))","9793297","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250800",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ9793297,,-0.426
"POLYGON ((2.176636177 41.35450967,2.176209007 41.354666122,2.175745818 41.353948083,2.176175674 41.353790662,2.176620221 41.354484758,2.176636177 41.35450967))","22691003",,Estacio Maritima,Edifici principal,Terminal Maritima D,Terminal Maritima D,"250957",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ22691003,-57,-0.41
"POLYGON ((2.144089139 41.328338908,2.14494117 41.328040518,2.145502775 41.327844167,2.146074651 41.328770896,2.146229141 41.329021651,2.146311753 41.328992132,2.146364205 41.329077013,2.146521227 41.329331659,2.146573408 41.329415384,2.146803303 41.3297883,2.146801082 41.329789067,2.146720642 41.329816926,2.146646944 41.329699822,2.146084942 41.329897166,2.145148305 41.330225166,2.14400608 41.328370574,2.144004817 41.328368484,2.144089139 41.328338908))","22543692","4",Magatzem,Edifici principal,,,"250952",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ22543692,,-0.425
"POLYGON ((2.150053795 41.329721337,2.150104938 41.329704113,2.150127355 41.32974194,2.150076212 41.329759163,2.150053795 41.329721337))","10206003","1",Instal·lacions de serveis,Edificació secundària o auxiliar,Caseta C-4 sud Moll Inflamables,Caseta C-4 sud Moll Inflamables,"250802",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ10206003,18,-0.423
"POLYGON ((2.150394167 41.329112898,2.150345481 41.329033893,2.150417688 41.329008592,2.150466374 41.329087597,2.150394167 41.329112898))","10216091","1",Instal·lacions de serveis,Edificació secundària o auxiliar,,,"250803",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ10216091,,-0.423
"POLYGON ((2.142097765 41.309429475,2.142100282 41.309429746,2.142107463 41.309436942,2.142107104 41.309438831,2.142095658 41.30944533,2.142093153 41.309445059,2.142085972 41.309437872,2.142086319 41.309435974,2.142097765 41.309429475))","41362774",,Seguretat,Construccio Modular,,,"251330",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ41362774,,-0.427
"POLYGON ((2.183242708 41.37657373,2.183254747 41.376589299,2.183240281 41.376595637,2.183228242 41.376580067,2.183242708 41.37657373))","10876098","1",Instal·lacions de serveis,Construccio Modular,,,"250804",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ10876098,,-0.406
"POLYGON ((2.173848828 41.346724445,2.173879848 41.346720587,2.173917011 41.346891818,2.17388598 41.346895657,2.173848828 41.346724445))","11571576","1",Instal·lacions de serveis,Construccio Modular,,,"250805",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ11571576,,-0.411
"POLYGON ((2.182419523 41.364461233,2.182393688 41.364477272,2.182372398 41.364457817,2.182398233 41.364441778,2.182419523 41.364461233))","12404895","1",Instal·lacions de serveis,Edificació secundària o auxiliar,caseta cloro,caseta cloro,"250810",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ12404895,,-0.407
"POLYGON ((2.158799105 41.328427424,2.158539019 41.328431118,2.158538199 41.328398244,2.158507136 41.328398683,2.158505739 41.328342763,2.158643282 41.328340813,2.158643657 41.328325575,2.15881426 41.328324965,2.15881464 41.328385544,2.158803552 41.328421701,2.158799105 41.328427424))","73865647",,Magatzem,Edifici principal,TMA,TMA,"792718",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ73865647,,
"POLYGON ((2.174195848 41.348754442,2.174266627 41.348745717,2.17427145 41.348767946,2.174200671 41.348776662,2.174195848 41.348754442))","12409961","1",Seguretat,Construccio Modular,,,"250811",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ12409961,,-0.411
"POLYGON ((2.14227287 41.309604878,2.142275387 41.309605149,2.142282568 41.309612346,2.142282209 41.309614235,2.142270763 41.309620734,2.142268258 41.309620463,2.142261077 41.309613275,2.142261424 41.309611377,2.14227287 41.309604878))","41362721",,Seguretat,Construccio Modular,,,"251326",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ41362721,,-0.427
"POLYGON ((2.141873075 41.330253532,2.141883034 41.330248562,2.14188964 41.33025607,2.141879668 41.33026104,2.141873075 41.330253532))","12359165",,Instal·lacions de serveis,Construccio Modular,,,"250807",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ12359165,,-0.427
"POLYGON ((2.142138446 41.330294882,2.142133426 41.33028671,2.142313383 41.330223808,2.142360431 41.330300291,2.142169635 41.330366976,2.142127605 41.330298665,2.142138446 41.330294882))","12356906","2",Oficines,Edifici principal,,,"250806",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ12356906,,-0.427
"POLYGON ((2.169415823 41.36053607,2.169422261 41.360533676,2.169438585 41.360558753,2.169350561 41.360591275,2.169334249 41.360566198,2.169340688 41.360563821,2.169415823 41.36053607))","12411667","1",Oficines,Edificació secundària o auxiliar,,,"250812",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ12411667,,-0.413
"POLYGON ((2.142482774 41.309815121,2.142485291 41.309815392,2.142492472 41.309822588,2.142492113 41.309824477,2.142480667 41.309830977,2.142478161 41.309830706,2.14247098 41.309823518,2.142471328 41.30982162,2.142482774 41.309815121))","41362664",,Seguretat,Construccio Modular,,,"251323",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ41362664,,-0.427
"POLYGON ((2.142587154 41.309919684,2.142589671 41.309919955,2.142596852 41.309927151,2.142596493 41.30992904,2.142585047 41.309935539,2.142582541 41.309935269,2.14257536 41.309928081,2.142575708 41.309926183,2.142587154 41.309919684))","41362622",,Seguretat,Construccio Modular,,,"251320",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ41362622,,-0.426
"POLYGON ((2.142910555 41.310243645,2.142913072 41.310243916,2.142920253 41.310251112,2.142919894 41.310253001,2.142908448 41.310259501,2.142905943 41.31025923,2.142898761 41.310252042,2.142899109 41.310250144,2.142910555 41.310243645))","41361435",,Seguretat,Construccio Modular,,,"251319",swrefVrecordVdatasetZgisVcollectionZedificacioVkeysZ41361435,,-0.426
